"ABronte_Agnes" "ABronte_Tenant" "Austen_Emma" "Austen_Pride" "Austen_Sense" "CBronte_Jane" "CBronte_Professor" "CBronte_Villette" "Dickens_Bleak" "Dickens_David" "Dickens_Hard" "EBronte_Wuthering" "Eliot_Adam" "Eliot_Middlemarch" "Eliot_Mill" "Fielding_Joseph" "Fielding_Tom" "Richardson_Clarissa" "Richardson_Pamela" "Sterne_Sentimental" "Sterne_Tristram" "Thackeray_Barry" "Thackeray_Pendennis" "Thackeray_Vanity" "Trollope_Barchester" "Trollope_Phineas" "Trollope_Prime"
"you" 1.12148723352049 1.71792365045525 1.23415631000228 1.10571517037954 0.986449774715081 1.58123655658258 1.01843410197683 0.869688975637526 1.22285048187546 1.01122823412998 1.46865264613141 1.58711546997881 1.03350939941571 1.09580066687474 1.29371723104361 0.735933244480501 1.02616463125952 1.44382165291696 1.95577273853221 0.336154776299879 0.457742782152231 0.7271238042252 0.964591433287453 0.689015247592781 0.829970607283416 1.38281814742819 1.23272501310486
"was" 1.44335551289638 1.08069588569948 1.48172843622085 1.50497857014813 1.54137953882852 1.33443258869352 1.21300393586978 1.46591642649832 0.916240128389633 1.46118219424708 1.12303161722234 0.943894002462332 1.36200652506586 1.43325535616612 1.42164163425759 1.15967433505244 1.13996109815017 0.63196027619688 0.687504222307294 1.14631197097944 0.953805774278215 1.68683450013136 1.30951923973305 1.42779627495112 1.53987944004384 1.53825409845276 1.45663592086398
"her" 1.08251663467229 1.03652575413138 1.53729325257913 1.814611410785 2.11287437052743 0.906357184003721 1.37755442396211 1.0887631711371 0.737245976084392 1.0651017687561 1.15049191814937 1.29900585432039 1.36739172384701 1.15915067722706 1.34320623374683 0.958306774062699 1.03842841089936 1.37298879795313 0.900308509919607 0.703748488512696 0.294488188976378 0.887075586876227 0.907286257176856 1.48269916746666 1.21107955960743 0.817256012374949 1.05220769212077
"his" 0.62208622605834 1.02121344185444 0.709994875689158 1.03564036960383 0.845646700238537 0.642641595188644 0.568143914967423 0.831567015863818 1.12921002256763 0.806728694528813 1.1154563617942 1.19263980435347 0.863426871244385 1.17120263041604 0.920215323849497 1.41681636437388 1.12313405166759 0.64016089616375 0.591123021145315 1.01088270858525 1.26824146981627 1.01457338464154 1.52311125978164 1.3006527343888 1.39391222039556 1.28244023206775 1.29000454764789
"as" 0.965604838127679 0.86926818926018 0.887184901187235 0.962306275768786 1.01129737609329 0.841353141069343 0.900580374018812 0.785820664135369 0.836963397353207 0.879018182317936 0.823809027810656 0.783926163535708 1.19910426193607 0.845799894313641 0.943092315665137 0.943819899171351 0.940032969602939 1.19862311590756 1.2106199473056 1.11003627569528 1.21102362204724 1.01611881249324 0.829417022653367 0.821938039998844 1.01429781298261 1.03748815503144 1.03623885218756
"my" 1.25138922968116 1.39989870316494 0.45192717304736 0.58096898782654 0.520143122183939 1.18064253589756 1.23190500544796 0.970330949440115 1.01871980509526 1.43342083201627 0.516064276042308 0.926305915459928 0.303366198004784 0.308715416302275 0.361363095210305 0.479515558903633 0.638286949627238 1.53085073231536 1.7884567748328 1.08343409915357 1.66404199475066 1.64665337598714 0.37481423800567 0.32331703370267 0.243610820505156 0.346079081317348 0.340205720316183
"for" 0.935294372356855 0.976454375198766 0.831620084828953 0.863712660723889 1.04525576464352 0.691790993504881 0.648195503769096 0.671454784814244 0.674266552125141 0.719596498220249 0.727224521101821 0.706036063953634 1.08018112218567 0.789248421657669 0.833376130426866 0.95251202410616 0.997644213492439 1.06813075068475 1.21670006980881 0.771463119709794 0.854068241469816 0.877803019766022 0.710145483858585 0.729470010498974 0.695461565286704 0.761074343329925 0.699851767507576
"not" 0.881890218379689 0.96055312783425 1.32799911096294 1.16193797565308 1.03366021733369 0.825498496451202 0.784950301305286 0.975413877409943 0.625927081980979 0.555776974561247 0.635374549035575 0.784763691488203 0.563202039195272 0.90605966025853 0.651760828053728 0.872834212203743 0.784311488594685 1.12030719522396 0.973495169680456 0.701330108827086 0.701837270341207 0.577217302610228 0.566197074968331 0.530727960983629 1.07756688088477 1.1730732496601 1.111570118829
"she" 0.907870617611824 0.826864862954805 1.45950250967754 1.3933477828659 1.33597270076862 0.78057700336647 0.976184652331503 0.982529976567702 0.521237600925908 0.761101109080164 0.798242540740671 1.12061240043886 1.07659098966491 0.814279401357853 0.961767411024843 0.707683838442371 0.731833919903259 0.948709222417215 0.74965658567343 0.551390568319226 0.166929133858268 0.471355494768727 0.635840686126664 1.03673356685792 1.1443232202461 0.753957998584222 0.918555444853694
"with" 0.874673440815207 0.902837489251935 0.751977181382082 0.857194074605218 0.821627352239597 0.741468879975055 0.794956749905495 0.821401159924163 0.935299690903617 0.926020092629496 0.91187137216283 0.675047529711304 0.815408848779131 0.944069666469921 0.976707487312607 0.919916555600626 0.829658952844341 0.80888865198209 0.794694530141644 0.955259975816203 0.832020997375328 0.890166442579628 1.01092911157784 0.992104899842355 0.83046878892044 0.72549261960141 0.683535778880168
"had" 0.730337889525569 0.594824438450394 1.00387101553963 0.95904698270945 0.82659687251524 0.787975837521602 0.915034133108003 0.78429578574442 0.579244965098903 0.840811951129008 0.731012148815893 0.577056759269341 0.877338634762356 1.15606043281963 0.972038713472681 0.987280523845396 0.910656939302847 0.567482901707369 0.466818294413043 1.1584038694075 0.62992125984252 0.972846832645618 0.859303454213438 0.883583392998757 1.24993772729537 1.36671273563528 1.4923922363666
"be" 0.734667956064258 0.669619194572374 1.2199564124885 1.00956602512915 1.07672939305592 0.543285822248294 0.483645015676769 0.506259625794843 0.635318750466131 0.555227244616082 0.676091546961849 0.604695181701689 0.708602406286322 0.758345977583367 0.662965885269552 0.559917714550617 0.801708943432603 1.19103754243821 1.08609003085099 0.425634824667473 0.563254593175853 0.459764785880971 0.434312913680308 0.431517470999393 0.935585114332686 1.08805165717196 1.15600515168662
"but" 1.05220616890146 1.13428897866877 0.889654448580936 0.816452911363525 0.733832494036576 0.657439263498909 0.579262191189878 0.673996248799158 0.565433687914856 0.606077264543793 0.494285416686394 0.57538170336435 0.770532192269547 0.736405242290613 0.748404446540205 0.638146838963899 0.621745107322332 0.836770759869446 0.912919134370707 0.71584038694075 0.62257217847769 0.547854173427914 0.440893412372434 0.397805168577566 0.790614257958452 0.852088647182864 0.963684775099719
"have" 0.516721273616905 0.599535919150991 0.815568026769894 0.686081188990108 0.678339517625232 0.573409647022762 0.523670810077606 0.467629373224152 0.606038842835952 0.658301609334415 0.727224521101821 0.530155193929597 0.428123303101426 0.631027907997244 0.522435792687766 0.715651619632613 0.849908449458968 0.988892260254875 0.957281509671899 0.614268440145103 0.590551181102362 0.56099031016737 0.496279276364494 0.390420568999451 0.54750161909032 0.731859875426513 0.667566938946959
"me" 0.915087395176306 1.1360557839315 0.359936532631982 0.364225999380734 0.367744500397562 1.08551466818871 0.847212648151031 0.88137970996813 0.674266552125141 0.995011200747633 0.492391602829358 0.891129741455121 0.392221977893759 0.342090055902521 0.404782691921621 0.353479747348902 0.449766988186843 1.13117301668006 1.35856959488369 0.744860943168077 0.262992125984252 0.838394609547653 0.314492999994516 0.209979483655955 0.215712648831764 0.413122539711076 0.389153686198409
"is" 0.368055655788577 0.626626933179425 0.767411852592716 0.700748007757117 0.629472568248078 0.723500282741162 0.513664361477397 0.445772782953893 0.959331313203857 0.477715322347897 0.461143674188264 0.547743280932001 0.436201101273151 0.672746207497551 0.414587116985466 0.630179057773657 0.710158402400278 0.804788341998655 0.756187087621321 0.558645707376058 0.718110236220472 0.404902097145595 0.530826894498155 0.459771591124353 0.584865241867185 0.72699079744261 0.653333842484751
"at" 0.600435893364895 0.578923191085879 0.637760614423392 0.64208073268908 0.694904585210708 0.619916604569309 0.635965399924396 0.563188419056914 0.691116310289678 0.730316232150956 0.643896711392237 0.656621914756405 0.655647951605014 0.608778148263746 0.662032130501566 0.568609839485426 0.614329798702891 0.460874842138066 0.413898709662891 0.558645707376058 0.497637795275591 0.806713338587788 0.803917590221379 0.787904668030142 0.701439744931002 0.684667273428692 0.677287102384564
"s" 0.425789876304433 0.435811964805239 0.576021929580856 0.534524061731011 0.581433872250199 0.300709759590739 0.335771941918125 0.342081052369407 0.693602340182806 0.600579965092149 0.5577281808971 0.699335840333671 1.27225321204669 0.717245726964546 1.10042999407066 0.392594309555543 0.266951110299864 0.511616178183071 0.420654401333123 0.326481257557437 0.678215223097113 0.66607940408302 1.08495972186426 1.01265335084233 0.675534299805709 0.49290050975501 0.51968159521768
"him" 0.47053389720422 0.747358626132228 0.476005260135949 0.622524974333067 0.531738669493772 0.380511470835381 0.294634319895043 0.401551309616391 0.574825356400008 0.468644778252683 0.569091064039316 0.776388411963249 0.518325382685688 0.623611321419411 0.498625046104142 0.734484556991366 0.566130292676527 0.450419051680307 0.345441034071205 0.49093107617896 0.407874015748032 0.577990016536078 0.590873945063803 0.532654378264876 0.626214317740248 0.870066781277272 0.827602486973245
"so" 0.619199515032548 0.501183759526025 0.601334790366296 0.479930902987142 0.533395176252319 0.333476025134897 0.360232149607525 0.354280079496993 0.556594470517067 0.471668292951088 0.514170462185272 0.300672534945854 0.339716289777546 0.250618821442588 0.33755234862668 0.467926058990555 0.503385373588952 0.616994144757344 0.8273470398811 0.684401451027811 0.573228346456693 0.282813296861236 0.332040996506852 0.316895642765179 0.607283415533303 0.575300291021046 0.490173956210664
"on" 0.391149343994919 0.424622198141321 0.427231699110346 0.583413457621042 0.576464351974556 0.600362542873601 0.649307331391341 0.5753874461845 0.573996679768965 0.649505930211783 0.506595206757128 0.687610448998735 0.73687469988736 0.623611321419411 0.642890157757868 0.565712464507157 0.436077187658645 0.306703186760919 0.323147251559439 0.244256348246675 0.302887139107612 0.439674223808862 0.442538537045466 0.489952128530561 0.599312509340906 0.521365888737823 0.435671611221234
"said" 0.268464125398727 0.405187340251357 0.298815234637872 0.326744129198377 0.328816591571694 0.308108593745871 0.252384870249717 0.300909335813802 0.481461122635855 0.811126534090128 0.688401337032583 0.31407298218578 0.544802610026343 0.708593042623741 0.769413928819874 0.268731529234514 0.272084785497938 0.211575995145233 0.891976490192988 0.851269649334946 0.435695538057743 0.379402537592533 0.521230333905471 0.431517470999393 0.641159766850994 0.731110786505912 0.509614283085874
"which" 0.27135083642452 0.153712057856983 0.343267087724497 0.439189739745449 0.491154253909356 0.314978939747066 0.350225701007316 0.341064466775441 0.317106924145703 0.368319063260173 0.283125171626881 0.154942671211652 0.318624261218042 0.615885710400836 0.386107596561915 0.970620617720345 0.976824308522471 0.36697774351741 0.33800977323395 0.616686819830713 0.694488188976378 0.677670112970776 0.623228063633422 0.634112355077233 0.436905295670802 0.428853407043683 0.440531692940037
"this" 0.261247347834245 0.332748324479676 0.324745482271737 0.365040822645568 0.361118473363371 0.35408706313848 0.283516043672589 0.506767918591826 0.433397878035373 0.385635556532853 0.47724109197307 0.247908273938643 0.352730520165326 0.379172988791684 0.370700642890158 0.520078808599409 0.763776787802388 0.649489101376064 0.603958835318756 0.454655380894801 0.623097112860892 0.380175251518383 0.323266998250684 0.33391232874953 0.387087131968316 0.358813592967553 0.392972321834611
"by" 0.385375921943334 0.372206975347177 0.352527890450878 0.518227596434333 0.621190034455341 0.344574276367595 0.462520290854106 0.361904471451735 0.407432676929366 0.391957450902244 0.445046256403458 0.380237690432918 0.384144179722034 0.423981532699421 0.422057155129348 0.489656371327577 0.506807823721002 0.511616178183071 0.408494156326705 0.466747279322854 0.494488188976378 0.4157200921075 0.380846361806786 0.401979072686935 0.391570766701539 0.340086369952545 0.42699289386623
"all" 0.448883564510775 0.393997573587439 0.523544047464701 0.508449717256327 0.543334216803605 0.337703930366401 0.275733250316871 0.364445935436649 0.414338315521389 0.417519893352391 0.408116886191256 0.238695466461193 0.378758980940884 0.322930540576454 0.363230604746275 0.417221996870835 0.466879238847091 0.501365403224484 0.52289053527597 0.382103990326481 0.590551181102362 0.312949139969401 0.275010007841761 0.354460779749502 0.454341652966672 0.407878917266874 0.444350328576239
"mr" 0.225163460011836 0.213783436789597 0.71246442308286 0.640451086159412 0.147429101510734 0.287497555742288 0.114518245091281 0.0233814686612076 0.854641832148786 0.683589186811979 0.618330224322251 0.261308721178569 0.231114781024355 0.612795465993405 0.434195967113157 0.236860404473547 0.347093484225357 0.260984730445622 0.318643457112617 0.0193470374848851 0.0272965879265092 0.114361661025855 0.407442544020794 0.253966011577768 1.06361779504807 0.741972575854617 0.431505826890832
"would" 0.544145028361936 0.418732847265574 0.506874602557216 0.383781757736747 0.426550490326001 0.351973110522728 0.312423561850971 0.378169840955184 0.242802252895534 0.275414702527383 0.269868474627629 0.371024882955469 0.327599592519959 0.476824712066477 0.3870413513299 0.456336559077476 0.372191451860387 0.458209640648833 0.41570022744162 0.309552599758162 0.354855643044619 0.390220532554438 0.310654375757443 0.293778635390212 0.527076171972301 0.681670917746291 0.648126612071749
"if" 0.458987053101049 0.511195656014794 0.299432621486297 0.284373319427016 0.24267824012722 0.28432662681866 0.234595628293789 0.198742483620265 0.37870522038655 0.426865302420186 0.412851420833846 0.37437499476545 0.460434495788326 0.404512992932611 0.443066637409017 0.36796662224025 0.343100625737966 0.549134014531499 0.495417389150359 0.290205562273277 0.269291338582677 0.205541904276199 0.243752639054163 0.19906311906222 0.315348976236736 0.389900783172467 0.407552566991019
"will" 0.27135083642452 0.348060636756617 0.353762664147728 0.334892361846715 0.300655976676385 0.326605679133702 0.251273042627471 0.219074195499576 0.222085337119465 0.145953300441158 0.220629314344693 0.20268176450389 0.1507855658722 0.407912261780784 0.169476490389329 0.269455872979081 0.38046237301284 0.702280592412786 0.693359155088162 0.169286577992745 0.239370078740157 0.18622405612994 0.190834462071651 0.171130068484134 0.273999900363673 0.382409893966463 0.317988203887371
"from" 0.360838878224095 0.379863131485648 0.337093219240244 0.401707869563092 0.448085078187119 0.381568447143257 0.405817082119588 0.321241047693113 0.294456429563867 0.294105520662974 0.327629797267227 0.407038584912771 0.336574923821876 0.359086400143387 0.356694321370378 0.379556122153329 0.478857814309264 0.417616571812829 0.301754227937037 0.292623941958888 0.339107611548556 0.372448112259879 0.3188799991226 0.351892223374505 0.330294425347482 0.314242802191834 0.303755107425163
"what" 0.307434724246929 0.331570454304527 0.331536737604416 0.390300343855418 0.367744500397562 0.381568447143257 0.330212803806898 0.319207876505182 0.358816981241523 0.376015282492476 0.42989574554717 0.259633665273579 0.350037920774751 0.354760057972985 0.347823651074518 0.283942747870429 0.318858270635948 0.479838775811451 0.436417681896998 0.253929866989117 0.338582677165354 0.189314911833341 0.278848632078834 0.214795526859073 0.281472624919046 0.344955447936447 0.346107248117586
"your" 0.193409638728115 0.359250403420535 0.226580973372105 0.373189055293907 0.319705804399682 0.358843456523922 0.262391318849926 0.203825411590092 0.234239261041426 0.158322224207358 0.332364331909817 0.341711404618129 0.229319714763971 0.209209546383023 0.238107465836247 0.249174248131193 0.365061347418617 0.66845303504945 0.860675118787579 0.125755743651753 0.298687664041995 0.234132319532663 0.220446706186217 0.154113382499783 0.180341752602999 0.199257652879685 0.244392680716931
"no" 0.435893364894707 0.449357471819456 0.458101041531613 0.398448576503756 0.470447919427511 0.402707973300778 0.390251495408152 0.345130809151304 0.347767959494286 0.340007971084205 0.39201946840645 0.329148485330698 0.424084404015563 0.342708104784007 0.395445144241768 0.43822796546329 0.431799124993583 0.274105722392613 0.293872587655099 0.324062877871826 0.350131233595801 0.293631291823141 0.275284195287266 0.220895848249689 0.399043491256912 0.400388028060871 0.365894723686997
"or" 0.534041539771661 0.45878043322065 0.304989103122125 0.243632156185323 0.294858203021468 0.336646954058525 0.359120321985279 0.418833264713806 0.287550790971844 0.285034976567761 0.327629797267227 0.260471193226074 0.192072089861017 0.220952475131258 0.190485972668998 0.349858028626065 0.320569495701973 0.350166472585327 0.289368793208278 0.333736396614268 0.641469816272966 0.300585717155795 0.416490729722467 0.31272173865581 0.260548996164001 0.279784711844219 0.311045230003367
"when" 0.301661302195344 0.257364633270121 0.224728812826829 0.303929077783029 0.253445534057779 0.302823712206491 0.289075181783816 0.243472249754749 0.341138546445944 0.458199909294559 0.338992680409443 0.258796137321083 0.372925015594638 0.29480931646884 0.359495585674334 0.241206466940951 0.268947539543559 0.246326122254842 0.320444974891346 0.26360338573156 0.218372703412073 0.347721266632667 0.321896061023158 0.364413935702613 0.210730832461515 0.308250090827032 0.308268040449766
"been" 0.20351312731839 0.189048163111462 0.46921400480327 0.42044880465427 0.36525974025974 0.207695844497646 0.205688110115408 0.18146052852285 0.277882896943012 0.305649849511427 0.319107634910565 0.186768733406477 0.313687829001988 0.372065426654594 0.342687999850599 0.257142029321435 0.276362848163 0.247453707500287 0.197041007048438 0.220072551390568 0.197900262467192 0.302131145007495 0.258284573665941 0.24208643834341 0.413988940367658 0.521740433198123 0.59466571316492
"an" 0.290114458092173 0.206716215738701 0.286467497669365 0.293336375340189 0.290716936125099 0.320263821286446 0.34911387338507 0.313616655738372 0.273463288244117 0.267168753349917 0.303957124054277 0.268846472751028 0.431713435622192 0.358159326821158 0.381905700105981 0.335371153734716 0.295471528066943 0.308138295255121 0.230369085954917 0.309552599758162 0.342257217847769 0.241086744865316 0.275832570178277 0.248507829280901 0.263039904349126 0.240832087973003 0.253765695460337
"they" 0.405582899123883 0.185514552586014 0.334006284998117 0.489708782165148 0.431520010601643 0.271642911124147 0.241266594027262 0.229240051439231 0.242802252895534 0.212745488778637 0.369293702122018 0.253770969606111 0.347345321384176 0.237021746049895 0.347356773690526 0.452714840354639 0.279785298295049 0.340633251873842 0.300628279325332 0.22490931076179 0.253543307086614 0.212496329608852 0.243204264163152 0.296026122218334 0.284461714741195 0.256188410845309 0.269040238005145
"one" 0.297331235656655 0.260898243795569 0.282763176578813 0.222446751299643 0.274151868539624 0.314450451593128 0.282404216050344 0.277527867152595 0.269043679545222 0.252326044830477 0.278390636984291 0.243720634176166 0.268811172492405 0.26514297015751 0.255381929043975 0.311467810163991 0.274936827274646 0.334687802397861 0.365708109081901 0.394195888754534 0.448293963254593 0.276631585454433 0.242930076717647 0.236628256046542 0.227170826483336 0.276413811701518 0.284314780549953
"were" 0.369499011301474 0.210838761351724 0.371049495903638 0.460375144631129 0.36525974025974 0.328719631749454 0.359120321985279 0.368512277812511 0.249984117031238 0.345780135508432 0.354143191265731 0.293972311325891 0.24457777797723 0.324475662780169 0.317009743731004 0.265109810511676 0.207058232988997 0.248068753997802 0.164163307586642 0.166868198307134 0.133333333333333 0.411856522478248 0.293928941581623 0.341939067421394 0.31783988442186 0.364431759872056 0.311739527391768
"there" 0.265577414372934 0.244408061343479 0.340180153482371 0.288447435751186 0.200437317784257 0.271114422970209 0.235707455916035 0.266853718415956 0.341414771989625 0.330662562016409 0.353196284337213 0.270521528656019 0.458639429527942 0.359704449024873 0.378637558418033 0.153560873848293 0.202780170323935 0.162577290843188 0.157182426194068 0.304715840386941 0.271916010498688 0.280495155083685 0.267606946813119 0.262313819796506 0.327305335525333 0.540842200673431 0.480453792773058
"very" 0.226606815524732 0.182569877148141 0.74827286029153 0.396818929974089 0.414126689636894 0.199240034034637 0.211247248226635 0.197725898026299 0.298599812719081 0.274864972582219 0.249036522200233 0.109716161776899 0.157965830913734 0.193140275464386 0.218498615708556 0.290461841571536 0.406415953180882 0.219469091863345 0.249285022631567 0.128174123337364 0.166404199475066 0.247268456272119 0.305993189183854 0.28446761853085 0.296418074029791 0.371548104617759 0.366241872381197
"who" 0.131345351673571 0.102474705237989 0.18212912028548 0.231409807212816 0.222800159024649 0.150619123872338 0.114518245091281 0.125040028057762 0.225123818099955 0.188007641246238 0.206425710416923 0.129816832636789 0.22303698285263 0.322312491694968 0.242776239676174 0.522251839833111 0.408982790779919 0.288251791835463 0.233972121512374 0.222490931076179 0.188451443569554 0.470582780842876 0.441990162154455 0.438902070577508 0.251083545060529 0.284279245367821 0.294034943987558
"are" 0.140005484750949 0.226151073628665 0.280911016033536 0.276225086778678 0.193811290750066 0.322377773902198 0.257944008360944 0.202300533199144 0.29804736163172 0.19817764523178 0.207372617345441 0.251258385748624 0.183545525124196 0.240730039338811 0.178347160685189 0.298429622761778 0.322851129123339 0.297785012546949 0.321570923503051 0.147521160822249 0.234645669291339 0.183133200426538 0.235801203134511 0.20965841410908 0.216210830468789 0.251693877321707 0.236755409444527
"do" 0.285784391553484 0.294467543787324 0.395127582992227 0.281928849632515 0.270838855022528 0.246275479735122 0.194569833892953 0.195184434041385 0.285064761078716 0.247928205269162 0.293541147840579 0.214407155838826 0.209573985899755 0.237330770490638 0.213362964484637 0.158631280060265 0.170837302424806 0.255141788719227 0.280136014592294 0.217654171704958 0.180577427821522 0.142179362356468 0.180963714033462 0.118795732343583 0.300901708763015 0.476795097962104 0.418314176511225
"could" 0.362282233736992 0.263842919233442 0.516752792132022 0.428597037302609 0.478730453220249 0.266886517738705 0.213470903471126 0.272444939182767 0.188938271877754 0.236933606365873 0.187487571846563 0.235345354651211 0.248167910497996 0.260816627987107 0.226902408620424 0.223822217071333 0.199642924369556 0.223774417345951 0.213254667056996 0.311970979443773 0.224671916010499 0.174633347242184 0.17356065300482 0.159571564796651 0.31783988442186 0.286526512129622 0.324236880382974
"more" 0.261247347834245 0.277388426247659 0.289554431911491 0.265632384335838 0.337099125364431 0.191841199879505 0.18567521291499 0.192642970056471 0.199158616993948 0.216868463367371 0.219682407416175 0.182581093644 0.254899408974434 0.292028096502152 0.252113787356027 0.269455872979081 0.286059790203807 0.276053369634744 0.264147544306078 0.275695284159613 0.246719160104987 0.196269337165994 0.185350713161546 0.159250495249776 0.172370846410601 0.177159529721976 0.152745425448082
"we" 0.261247347834245 0.202004735038104 0.220407104887852 0.206150286002966 0.178902729923138 0.163831327720789 0.133419314669454 0.173836136568109 0.36378904102778 0.415870703516897 0.125938621492893 0.287272087705927 0.2369487463706 0.171508564612375 0.19608850127691 0.239757779451817 0.274936827274646 0.186666611995867 0.259868939581598 0.195888754534462 0.196325459317585 0.262722734789126 0.22318858064127 0.193283867218478 0.212723559009615 0.184650418927979 0.195097566140505
"them" 0.444553497972085 0.249119542044076 0.269180665913455 0.35281847367306 0.387622581500133 0.21192374972915 0.174556936692535 0.182477114116816 0.183413761004135 0.17591358245262 0.183699944132491 0.194306484978936 0.221241916592246 0.186032713327297 0.178347160685189 0.323781653821638 0.181960265353967 0.27318315264634 0.276307789312496 0.355501813784764 0.294488188976378 0.18776948398164 0.170544591104263 0.183651780812242 0.198276291535894 0.155810495484867 0.161076994108887
"t" 0.305991368734033 0.335692999917549 0.0117303501200817 0.00977787917800629 0.050523456135701 0.112039488634862 0.0711569678237086 0.0879346538780199 0.378428994842869 0.383161771779613 0.487657068186768 0.52429249826213 0.460883262353422 0.20272003312742 0.531773340367619 0.0717100307121748 0.0932617660983498 0.0576093552672582 0.198617335104826 0.033857315598549 0.0346456692913386 0.111270805322454 0.330670059279326 0.228280447827804 0.194290838439695 0.240457543512703 0.473163670194855
